id,category,sender,recipient,timestamp,message
670,Family,Uncle,Bro,2025-01-28 06:35:32,Are you coming home this weekend? - can't wait
671,Work/Colleague,Chris (Lead),You,2025-08-02 11:34:45,Meeting moved to 3 PM.!
672,Couple,Honey,Partner,2025-11-21 12:06:30,Did you take your meds today?🙏
673,Work/Colleague,Priya (Dev),All,2025-03-06 06:57:05,Any updates on the ticket?
674,Friend,Jordan,Jordan,2025-01-21 02:04:17,Did you watch that new series? - can't wait
675,Family,Sis,Mom,2024-12-14 12:56:47,Are you coming home this weekend???
676,Couple,Partner,Partner,2025-07-24 04:48:31,Love you to the moon.
677,Friend,Jordan,Jordan,2025-11-04 09:32:38,Call me when you're free....
678,Friend,Riley,Jordan,2025-05-01 08:33:28,Did you watch that new series?...
679,Mixed/Generic,Contact,Contact,2025-10-12 22:29:37,LOL that's hilarious! 😂
680,Couple,Honey,You,2025-04-28 08:30:13,I packed your favorite snack. :)
681,Friend,Jordan,Riley,2024-12-08 17:54:12,Call me when you're free.
682,Mixed/Generic,Contact,Friend,2025-05-15 16:20:43,See you soon. :)
683,Friend,Taylor,Morgan,2025-01-19 02:52:24,"Hey, are you free tonight?"
684,Friend,Alex,Sam,2025-03-24 01:38:04,Call me when you're free.
685,Mixed/Generic,User1,Contact,2025-03-02 15:03:47,Thanks a lot!!
686,Couple,Love,Partner,2025-03-23 16:29:57,"Good morning, love ☀️ :)"
687,Couple,You,Partner,2025-07-17 13:00:27,Love you to the moon.
688,Work/Colleague,Liam (QA),Client,2025-08-21 06:10:50,Meeting moved to 3 PM. 😂
689,Work/Colleague,Chris (Lead),Team,2025-11-21 16:43:31,Can you review the report?...
690,Family,Bro,Sis,2025-09-06 14:52:00,Don't forget your jacket!
691,Family,Sis,Bro,2025-05-21 08:06:06,How's school/work going?🙏
692,Friend,Taylor,Morgan,2025-02-12 12:48:48,Can you pick me up at 6?...
693,Friend,Jamie,Riley,2025-02-02 17:50:31,What's the plan this weekend? 😂
694,Work/Colleague,Priya (Dev),Team,2025-04-11 00:29:20,Let's sync after lunch. :)
695,Friend,Morgan,Casey,2025-01-15 04:29:04,What's the plan this weekend?...
696,Friend,Sam,Jordan,2025-01-21 14:31:41,"Hey, are you free tonight???"
697,Friend,Taylor,Casey,2025-01-18 05:00:18,That meme you sent cracked me up 😂
698,Work/Colleague,Chris (Lead),You,2025-10-26 23:59:53,Let's sync after lunch.🙏
699,Family,Mom,Dad,2025-07-01 23:17:21,Send the grocery list....
700,Friend,Taylor,Jordan,2025-05-24 21:40:07,Call me when you're free.
701,Family,Mom,Sis,2025-05-28 15:59:34,"Bring umbrellas, it's raining here.!"
702,Couple,Love,You,2025-10-09 10:22:10,You always make me smile ❤️
703,Friend,Casey,Casey,2025-08-01 08:18:09,What's the plan this weekend? 😂
704,Mixed/Generic,User2,Contact,2025-07-15 00:00:24,"Sure, works for me."
705,Couple,Love,You,2025-06-27 18:00:06,"Miss you, come home safe...."
706,Mixed/Generic,User2,Contact,2025-07-19 14:15:32,Thanks a lot!🙏
707,Mixed/Generic,User2,Friend,2025-04-04 13:36:19,See you soon. - can't wait
708,Work/Colleague,Emma (HR),Team,2025-10-21 16:26:49,Can you review the report? 😂
709,Family,Uncle,Dad,2025-04-27 17:31:25,Dinner at mom's on Sunday. - can't wait
710,Family,Uncle,Sis,2025-07-01 02:59:36,Have you eaten? :)
711,Couple,You,You,2025-06-17 17:30:28,Did you take your meds today???
712,Friend,Riley,Jordan,2025-03-14 23:06:36,Call me when you're free. :)
713,Friend,Riley,Taylor,2025-08-13 21:17:18,"I'm running late, save me a seat. :)"
714,Work/Colleague,Priya (Dev),Team,2025-10-15 12:26:32,I'll be WFH tomorrow.
715,Family,Mom,Bro,2025-01-11 18:53:44,Take care of the dog while I'm away. - can't wait
716,Couple,Bae,Partner,2025-03-08 20:10:31,Love you to the moon.
717,Couple,Partner,You,2025-04-22 12:57:52,Love you to the moon....
718,Mixed/Generic,Contact,Group,2024-12-09 00:00:55,LOL that's hilarious!!
719,Couple,Love,Partner,2024-12-08 06:04:23,"Miss you, come home safe. - can't wait"
720,Friend,Morgan,Sam,2025-05-23 08:04:08,"I'm running late, save me a seat. - can't wait"
721,Work/Colleague,Chris (Lead),You,2025-07-10 13:13:06,Please share the slides by EOD. :)
722,Mixed/Generic,User2,Friend,2025-04-21 22:42:52,That sounds perfect.??
723,Couple,Bae,Partner,2025-04-08 23:49:48,Did you take your meds today? 😂
724,Family,Uncle,Dad,2025-07-09 21:47:39,Can you pick up some milk?
725,Family,Dad,Dad,2025-03-28 06:01:30,Are you coming home this weekend?
726,Friend,Jordan,Casey,2025-06-24 21:14:31,I aced the presentation today!??
727,Family,Mom,Bro,2024-12-07 00:25:57,Can you pick up some milk?
728,Friend,Jamie,Sam,2025-06-06 20:55:18,That meme you sent cracked me up 😂??
729,Couple,Love,Partner,2025-11-14 15:23:16,Can't wait to see you later. - can't wait
730,Friend,Taylor,Jordan,2025-05-27 18:32:36,Call me when you're free. 😂
731,Family,Uncle,Bro,2025-05-13 08:02:12,Send the grocery list.
732,Friend,Jordan,Casey,2025-01-05 08:05:10,Did you watch that new series?!
733,Family,Mom,Dad,2025-07-31 18:57:58,Remember to call your grandmother. - can't wait
734,Couple,Bae,Partner,2025-04-11 17:09:26,Can't stop thinking about you. 😂
735,Work/Colleague,Emma (HR),Client,2025-08-23 05:32:19,Reminder: submit timesheets.
736,Friend,Riley,Sam,2025-08-31 15:55:25,"I'm running late, save me a seat. :)"
737,Friend,Jamie,Alex,2025-05-05 11:18:07,Wanna grab coffee tomorrow?
738,Work/Colleague,Raj (PM),You,2025-09-07 03:18:36,Meeting moved to 3 PM.🙏
739,Family,Sis,Dad,2025-07-02 14:14:41,Are you coming home this weekend? :)
740,Family,Aunt,Dad,2025-11-07 17:23:15,"Bring umbrellas, it's raining here."
741,Work/Colleague,Emma (HR),Client,2025-07-08 10:24:28,I'll be WFH tomorrow....
742,Couple,Partner,Partner,2025-04-16 11:19:16,Can't wait to see you later.🙏
743,Family,Sis,Sis,2025-02-21 22:06:36,Take care of the dog while I'm away.??
744,Work/Colleague,Liam (QA),You,2025-07-15 00:42:36,Any updates on the ticket?!
745,Couple,Love,You,2025-07-01 13:17:48,"Good morning, love ☀️ - can't wait"
746,Family,Bro,Sis,2025-04-18 19:42:53,Send the grocery list.
747,Family,Aunt,Sis,2025-04-28 09:58:14,Have you eaten? :)
748,Couple,Partner,Partner,2025-08-04 20:48:17,You always make me smile ❤️!
749,Friend,Riley,Riley,2025-07-10 15:20:46,"I'm running late, save me a seat...."
750,Friend,Jordan,Jordan,2025-09-29 07:11:28,Wanna grab coffee tomorrow? 😂
751,Couple,Bae,Partner,2025-06-14 05:40:24,I packed your favorite snack. :)
752,Friend,Alex,Jordan,2025-07-03 20:34:43,What's the plan this weekend?
753,Friend,Alex,Taylor,2025-09-09 05:50:36,I aced the presentation today!
754,Couple,Honey,Partner,2025-05-18 13:29:50,Did you take your meds today???
755,Family,Sis,Mom,2025-10-27 20:40:35,Have you eaten?
756,Work/Colleague,Chris (Lead),Client,2025-08-18 21:16:28,Meeting moved to 3 PM.
757,Work/Colleague,Raj (PM),All,2025-04-12 21:22:50,Can you review the report?!
758,Work/Colleague,Priya (Dev),Client,2025-03-03 22:47:25,Can you review the report?
759,Couple,Bae,You,2025-02-16 11:24:48,Can't stop thinking about you.
760,Friend,Riley,Taylor,2025-10-29 22:27:01,I aced the presentation today! - can't wait
761,Mixed/Generic,Contact,Group,2025-11-18 00:17:10,Sending the location now. - can't wait
762,Work/Colleague,Raj (PM),Client,2025-11-21 04:51:02,Who will cover the support shift? :)
763,Family,Uncle,Dad,2025-10-10 21:19:26,Send the grocery list. - can't wait
764,Friend,Casey,Alex,2025-05-26 06:54:41,Wanna grab coffee tomorrow?
765,Friend,Sam,Jordan,2025-07-28 18:50:51,What's the plan this weekend???
766,Mixed/Generic,User2,Contact,2025-11-14 16:37:32,That sounds perfect. :)
767,Couple,Bae,You,2024-11-28 14:27:02,Dinner at our place tonight???
768,Family,Uncle,Bro,2025-02-07 23:35:05,Take care of the dog while I'm away. :)
769,Family,Uncle,Bro,2025-01-22 10:11:24,Don't forget your jacket! 😂
770,Friend,Jordan,Jamie,2025-07-13 10:39:37,What's the plan this weekend? 😂
771,Couple,Love,Partner,2025-11-15 07:48:57,"Good morning, love ☀️"
772,Work/Colleague,Priya (Dev),You,2024-12-22 10:45:24,Who will cover the support shift?
773,Work/Colleague,Chris (Lead),Client,2025-09-07 08:03:34,Great job on the demo!...
774,Friend,Casey,Sam,2025-03-02 06:23:24,Can you pick me up at 6?
775,Friend,Jordan,Alex,2025-10-01 12:42:28,Did you watch that new series? :)
776,Friend,Morgan,Jamie,2025-01-09 08:53:15,"Hey, are you free tonight?..."
777,Friend,Taylor,Sam,2025-08-10 06:30:16,Let's plan a trip soon!
778,Couple,Honey,You,2025-02-12 15:14:07,"Miss you, come home safe. - can't wait"
779,Work/Colleague,Chris (Lead),You,2025-11-05 03:49:01,Can you review the report?...
780,Work/Colleague,Priya (Dev),Team,2025-07-29 11:01:21,Meeting moved to 3 PM.
781,Couple,Love,You,2025-01-08 23:51:58,You always make me smile ❤️🙏
782,Family,Bro,Mom,2025-05-25 13:40:41,Take care of the dog while I'm away.🙏
783,Work/Colleague,Raj (PM),All,2025-02-16 15:45:34,Let's sync after lunch.
784,Family,Aunt,Bro,2025-06-16 10:21:06,"Bring umbrellas, it's raining here. - can't wait"
785,Mixed/Generic,User2,Group,2025-06-12 08:13:41,That sounds perfect.!
786,Friend,Taylor,Morgan,2025-07-17 17:16:19,What's the plan this weekend?...
787,Mixed/Generic,User2,Friend,2025-07-02 08:41:19,"Sure, works for me."
788,Friend,Riley,Alex,2025-08-03 22:33:29,Did you watch that new series? 😂
789,Work/Colleague,Liam (QA),All,2025-11-05 13:37:05,Can you review the report?
790,Couple,Bae,Partner,2025-07-20 21:53:47,Dinner at our place tonight?🙏
791,Friend,Sam,Morgan,2025-08-06 03:34:08,That meme you sent cracked me up 😂🙏
792,Work/Colleague,Priya (Dev),Client,2025-10-07 08:42:28,Any updates on the ticket?🙏
793,Family,Uncle,Bro,2025-10-27 18:12:17,Have you eaten?
794,Couple,Honey,You,2024-12-25 08:27:02,Let's have a movie night in. :)
795,Mixed/Generic,User1,Group,2025-11-03 18:45:13,I can't believe this happened!...
796,Family,Sis,Dad,2025-10-30 16:04:31,"Bring umbrellas, it's raining here."
797,Mixed/Generic,Contact,Contact,2025-08-03 14:39:12,See you soon.
798,Friend,Jordan,Jordan,2025-10-13 13:03:15,Can you pick me up at 6? - can't wait
799,Family,Aunt,Bro,2025-10-12 15:52:11,Have you eaten? 😂
800,Family,Dad,Bro,2025-08-15 12:37:02,"Bring umbrellas, it's raining here...."
801,Couple,Partner,You,2025-10-19 20:41:08,Love you to the moon. :)
802,Work/Colleague,Chris (Lead),Team,2024-12-16 15:19:17,I'll be WFH tomorrow.
803,Couple,Partner,Partner,2025-01-24 06:31:01,Did you take your meds today? - can't wait
804,Friend,Jordan,Casey,2025-04-12 07:41:25,That meme you sent cracked me up 😂🙏
805,Friend,Taylor,Taylor,2025-09-07 03:15:19,"Hey, are you free tonight? - can't wait"
806,Friend,Taylor,Jordan,2025-11-17 17:52:53,"Hey, are you free tonight? 😂"
807,Family,Sis,Bro,2025-11-13 18:17:47,Remember to call your grandmother.??
808,Friend,Taylor,Taylor,2025-03-02 20:57:44,What's the plan this weekend?...
809,Family,Uncle,Dad,2025-05-16 09:09:11,Can you pick up some milk?
810,Mixed/Generic,User1,Group,2025-10-25 20:02:20,Thanks a lot!
811,Friend,Riley,Alex,2024-12-25 06:04:34,Call me when you're free.??
812,Friend,Casey,Sam,2025-06-28 06:44:07,That meme you sent cracked me up 😂
813,Couple,Love,You,2025-03-21 08:38:23,Let's have a movie night in. - can't wait
814,Family,Dad,Bro,2024-11-26 05:35:50,"Bring umbrellas, it's raining here...."
815,Friend,Riley,Casey,2025-05-08 00:39:48,What's the plan this weekend???
816,Friend,Casey,Riley,2025-03-13 20:20:07,Let's plan a trip soon! :)
817,Work/Colleague,Emma (HR),Team,2025-07-04 22:09:59,Do you have the client notes?...
818,Friend,Jordan,Sam,2025-03-03 08:04:52,Can you pick me up at 6?!
819,Work/Colleague,Emma (HR),All,2025-09-07 14:51:09,Great job on the demo!🙏
820,Mixed/Generic,User2,Group,2025-09-18 22:51:06,See you soon....
821,Family,Aunt,Dad,2025-06-19 11:18:30,Can you pick up some milk?
822,Mixed/Generic,User1,Contact,2025-09-05 18:49:12,I can't believe this happened!🙏
823,Friend,Sam,Jordan,2025-09-12 05:18:22,What's the plan this weekend? - can't wait
824,Work/Colleague,Emma (HR),You,2025-01-02 20:24:39,Let's sync after lunch.??
825,Friend,Sam,Jordan,2025-11-11 08:05:53,"I'm running late, save me a seat."
826,Family,Aunt,Dad,2025-07-29 21:58:20,Can you pick up some milk?🙏
827,Family,Mom,Bro,2025-03-12 08:21:46,Don't forget your jacket!
828,Couple,Partner,Partner,2025-03-28 01:22:22,Did you take your meds today???
829,Friend,Alex,Morgan,2025-07-09 15:20:28,"I'm running late, save me a seat."
830,Friend,Taylor,Sam,2025-04-14 07:54:47,"I'm running late, save me a seat."
831,Couple,Honey,You,2025-05-02 04:51:24,Did you take your meds today?!
832,Family,Uncle,Sis,2025-01-15 09:33:22,Are you coming home this weekend?!
833,Family,Uncle,Mom,2025-09-30 13:56:13,Take care of the dog while I'm away....
834,Couple,Partner,Partner,2025-02-12 16:16:29,"Good morning, love ☀️"
835,Family,Dad,Sis,2025-05-05 19:17:28,Have you eaten???
836,Work/Colleague,Emma (HR),All,2025-06-27 08:03:22,Do you have the client notes?!
837,Mixed/Generic,User1,Group,2025-10-09 12:09:04,Thanks a lot!??
838,Friend,Jordan,Morgan,2025-06-12 13:57:48,Call me when you're free.!
839,Friend,Taylor,Jamie,2025-07-19 18:34:49,I aced the presentation today!
840,Family,Uncle,Mom,2025-09-27 14:01:03,"Bring umbrellas, it's raining here."
841,Family,Aunt,Bro,2025-01-16 00:33:28,Remember to call your grandmother....
842,Couple,You,You,2025-02-09 00:54:54,Let's have a movie night in. - can't wait
843,Friend,Jordan,Alex,2025-06-20 19:06:37,Did you watch that new series?!
844,Work/Colleague,Liam (QA),All,2025-09-18 22:59:38,Any updates on the ticket?
845,Friend,Alex,Jamie,2025-03-14 10:35:29,That meme you sent cracked me up 😂??
846,Work/Colleague,Emma (HR),All,2025-01-27 13:03:34,Who will cover the support shift? :)
847,Couple,You,You,2025-02-17 20:15:14,I packed your favorite snack. :)
848,Family,Dad,Mom,2025-09-11 04:22:29,Take care of the dog while I'm away.
849,Family,Dad,Mom,2025-01-20 19:30:49,Have you eaten?🙏
850,Couple,You,You,2025-08-26 00:30:20,"Miss you, come home safe.!"
851,Family,Uncle,Dad,2025-02-01 17:15:56,Can you pick up some milk???
852,Mixed/Generic,User2,Group,2025-05-15 03:54:57,"BRB, phone's dying. - can't wait"
853,Work/Colleague,Raj (PM),You,2025-09-18 01:56:13,Reminder: submit timesheets.??
854,Family,Sis,Bro,2025-08-09 22:46:06,How's school/work going?...
855,Family,Aunt,Mom,2024-12-07 08:21:37,Remember to call your grandmother.??
856,Mixed/Generic,User2,Contact,2025-07-15 11:15:02,Happy birthday! 🎉 - can't wait
857,Family,Sis,Dad,2025-02-09 12:18:23,Can you pick up some milk?🙏
858,Family,Bro,Dad,2025-07-28 19:48:12,Send the grocery list.🙏
859,Mixed/Generic,User1,Friend,2025-01-09 02:05:10,LOL that's hilarious!??
860,Work/Colleague,Chris (Lead),Client,2025-11-01 18:13:36,Great job on the demo!!
861,Couple,You,You,2025-07-18 03:54:35,You always make me smile ❤️ 😂
862,Couple,Love,Partner,2025-09-27 18:14:42,Can't wait to see you later.
863,Couple,Love,You,2025-08-17 18:20:45,Love you to the moon.
864,Work/Colleague,Emma (HR),Team,2025-03-24 00:43:20,Any updates on the ticket?
865,Family,Sis,Bro,2025-10-27 11:24:28,Take care of the dog while I'm away.!
866,Friend,Alex,Taylor,2024-12-09 18:18:07,Let's plan a trip soon!🙏
867,Work/Colleague,Raj (PM),All,2025-11-09 18:01:53,I'll be WFH tomorrow. 😂
868,Mixed/Generic,User1,Contact,2025-05-09 23:33:26,Thanks a lot!🙏
869,Family,Uncle,Sis,2025-07-08 15:18:40,How's school/work going?
870,Friend,Casey,Jamie,2025-08-06 11:15:41,"I'm running late, save me a seat. 😂"
871,Couple,Bae,You,2025-10-08 14:13:20,"Miss you, come home safe. :)"
872,Family,Aunt,Dad,2025-06-03 12:46:37,Send the grocery list. :)
873,Work/Colleague,Liam (QA),You,2025-10-05 11:35:14,Reminder: submit timesheets.
874,Family,Dad,Mom,2025-05-10 11:21:42,"Bring umbrellas, it's raining here.??"
875,Friend,Alex,Sam,2025-03-31 04:41:59,That meme you sent cracked me up 😂 - can't wait
876,Friend,Alex,Riley,2025-06-13 23:04:39,That meme you sent cracked me up 😂 :)
877,Friend,Casey,Jamie,2025-07-09 00:56:35,That meme you sent cracked me up 😂
878,Friend,Alex,Sam,2025-02-20 17:37:30,Wanna grab coffee tomorrow? :)
879,Family,Dad,Sis,2025-07-23 00:08:37,How's school/work going?🙏
880,Friend,Casey,Jamie,2025-09-20 05:19:26,Call me when you're free.
881,Couple,You,Partner,2025-10-11 14:51:09,"Good morning, love ☀️"
882,Couple,Love,Partner,2025-05-26 19:00:14,Love you to the moon.🙏
883,Couple,Love,You,2025-02-08 01:34:52,You always make me smile ❤️??
884,Friend,Sam,Jamie,2024-12-09 06:55:01,I aced the presentation today! 😂
885,Work/Colleague,Emma (HR),All,2025-09-12 07:55:03,Any updates on the ticket? :)
886,Friend,Morgan,Jordan,2025-06-11 13:52:34,Let's plan a trip soon! - can't wait
887,Couple,Honey,You,2025-03-24 13:35:11,"Miss you, come home safe. - can't wait"
888,Work/Colleague,Liam (QA),All,2025-10-03 15:36:32,Do you have the client notes?...
889,Work/Colleague,Liam (QA),Team,2025-02-25 13:35:46,Meeting moved to 3 PM. 😂
890,Couple,Partner,You,2025-09-04 12:49:01,Let's have a movie night in....
891,Couple,Partner,Partner,2025-02-07 17:55:14,Did you take your meds today?!
892,Family,Dad,Mom,2025-03-21 02:13:02,Dinner at mom's on Sunday.🙏
893,Family,Sis,Mom,2025-08-26 19:09:52,Send the grocery list.??
894,Mixed/Generic,Contact,Friend,2025-05-14 18:27:32,"BRB, phone's dying.🙏"
895,Couple,You,You,2025-01-31 07:13:07,"Good morning, love ☀️"
896,Work/Colleague,Priya (Dev),Client,2025-06-28 16:10:51,Please share the slides by EOD....
897,Family,Dad,Dad,2025-06-24 09:36:59,Send the grocery list. - can't wait
898,Work/Colleague,Emma (HR),You,2025-01-31 06:05:02,Do you have the client notes?
899,Family,Bro,Dad,2025-10-24 16:56:12,Take care of the dog while I'm away. 😂
900,Mixed/Generic,User1,Contact,2025-05-26 02:23:08,LOL that's hilarious!...
901,Work/Colleague,Priya (Dev),Client,2025-05-07 07:36:58,Can you review the report?🙏
902,Couple,Honey,Partner,2025-02-18 22:41:22,Let's have a movie night in.!
903,Family,Dad,Dad,2025-05-12 17:15:43,Send the grocery list....
904,Work/Colleague,Liam (QA),All,2025-11-20 03:46:03,Please share the slides by EOD.
905,Family,Uncle,Bro,2025-09-17 03:17:49,"Bring umbrellas, it's raining here.!"
906,Friend,Jamie,Morgan,2025-08-24 13:50:08,Can you pick me up at 6?🙏
907,Family,Bro,Bro,2025-08-01 23:36:54,Take care of the dog while I'm away. - can't wait
908,Couple,Love,Partner,2024-11-25 12:06:44,"Good morning, love ☀️ :)"
909,Friend,Casey,Alex,2025-02-07 12:47:04,What's the plan this weekend?
910,Work/Colleague,Chris (Lead),Client,2025-09-13 11:12:49,Meeting moved to 3 PM.
911,Mixed/Generic,User2,Contact,2025-03-02 08:10:03,Happy birthday! 🎉
912,Friend,Sam,Riley,2025-10-28 17:52:17,I aced the presentation today!🙏
913,Family,Bro,Bro,2025-03-29 09:28:56,Have you eaten?...
914,Work/Colleague,Liam (QA),You,2025-09-01 05:05:36,Let's sync after lunch. 😂
915,Family,Uncle,Sis,2025-07-15 04:08:36,Can you pick up some milk?🙏
916,Family,Dad,Mom,2025-01-10 05:23:08,Can you pick up some milk? 😂
917,Friend,Jordan,Sam,2025-07-19 01:33:14,Wanna grab coffee tomorrow? 😂
918,Family,Sis,Mom,2025-01-20 00:01:20,How's school/work going?
919,Mixed/Generic,Contact,Group,2025-08-27 20:52:04,On my way 🚗 - can't wait
920,Work/Colleague,Emma (HR),All,2025-11-08 17:53:49,Great job on the demo!...
921,Mixed/Generic,Contact,Friend,2025-04-27 16:25:44,On my way 🚗??
922,Friend,Jordan,Taylor,2025-06-02 04:24:06,I aced the presentation today!🙏
923,Family,Mom,Dad,2025-05-04 13:02:26,Remember to call your grandmother.??
924,Couple,Partner,Partner,2025-03-27 20:49:04,Can't wait to see you later.!
925,Friend,Alex,Riley,2025-05-13 18:53:09,Can you pick me up at 6???
926,Mixed/Generic,User1,Contact,2025-04-17 08:09:09,LOL that's hilarious! - can't wait
927,Mixed/Generic,User2,Group,2025-10-05 21:04:58,Happy birthday! 🎉 😂
928,Family,Bro,Dad,2025-08-17 11:26:55,Are you coming home this weekend?🙏
929,Couple,Bae,You,2025-10-22 05:56:39,Dinner at our place tonight?
930,Couple,You,Partner,2025-08-04 20:03:54,Can't wait to see you later. - can't wait
931,Friend,Alex,Sam,2025-01-24 06:28:24,"Hey, are you free tonight?"
932,Work/Colleague,Chris (Lead),Team,2025-10-11 08:21:49,Great job on the demo!
933,Friend,Jordan,Sam,2025-07-18 19:39:17,Call me when you're free.
934,Couple,Honey,Partner,2024-12-05 18:36:17,"Miss you, come home safe.!"
935,Friend,Riley,Alex,2025-05-10 18:16:05,Wanna grab coffee tomorrow?!
936,Mixed/Generic,User2,Friend,2025-10-20 12:28:36,Happy birthday! 🎉??
937,Mixed/Generic,Contact,Group,2024-12-29 12:27:52,Sending the location now.
938,Friend,Morgan,Taylor,2024-12-31 02:30:40,What's the plan this weekend?🙏
939,Mixed/Generic,User1,Friend,2025-10-19 09:34:39,Happy birthday! 🎉
940,Work/Colleague,Raj (PM),Client,2024-12-25 07:03:56,Any updates on the ticket?
941,Friend,Morgan,Riley,2024-12-01 18:22:15,"Hey, are you free tonight?"
942,Mixed/Generic,User1,Contact,2025-03-25 14:30:12,See you soon.??
943,Couple,Love,You,2025-05-12 12:49:41,"Miss you, come home safe."
944,Friend,Casey,Casey,2025-05-04 04:22:12,What's the plan this weekend? 😂
945,Family,Sis,Sis,2025-04-03 19:49:21,Remember to call your grandmother.
946,Family,Aunt,Mom,2024-12-21 23:25:31,"Bring umbrellas, it's raining here.!"
947,Friend,Sam,Casey,2025-10-12 07:20:25,Can you pick me up at 6???
948,Couple,Partner,You,2025-11-12 08:47:28,You always make me smile ❤️ :)
949,Friend,Sam,Riley,2025-02-24 14:01:15,Can you pick me up at 6???
950,Mixed/Generic,User1,Group,2025-06-06 04:49:15,LOL that's hilarious!
951,Couple,Love,Partner,2025-09-09 09:17:10,You always make me smile ❤️...
952,Friend,Alex,Jordan,2024-12-26 05:41:08,Wanna grab coffee tomorrow???
953,Couple,You,You,2025-11-18 00:06:29,Love you to the moon.
954,Family,Mom,Bro,2025-08-29 08:51:37,How's school/work going?🙏
955,Friend,Sam,Jamie,2025-01-13 22:20:56,Wanna grab coffee tomorrow?🙏
956,Friend,Morgan,Casey,2025-06-12 01:58:53,"I'm running late, save me a seat.!"
957,Mixed/Generic,Contact,Friend,2025-08-08 04:43:11,See you soon. - can't wait
958,Family,Mom,Mom,2025-09-13 15:15:51,Don't forget your jacket! 😂
959,Friend,Jordan,Jamie,2025-02-01 04:53:52,Let's plan a trip soon! :)
960,Friend,Morgan,Jordan,2025-03-21 03:26:26,Call me when you're free.
961,Friend,Sam,Riley,2024-12-04 13:02:55,Did you watch that new series?!
962,Family,Dad,Sis,2025-04-08 15:22:41,Dinner at mom's on Sunday....
963,Friend,Alex,Jordan,2025-01-16 03:10:29,Did you watch that new series???
964,Family,Sis,Bro,2025-02-12 21:48:01,How's school/work going?
965,Friend,Sam,Casey,2025-03-10 22:23:46,What's the plan this weekend?...
966,Couple,Bae,You,2025-09-29 00:56:48,You always make me smile ❤️ :)
967,Family,Bro,Dad,2024-12-17 04:48:35,Send the grocery list.
968,Friend,Riley,Taylor,2025-07-19 18:12:30,Let's plan a trip soon!!
969,Family,Mom,Mom,2025-02-22 23:58:33,Send the grocery list.
970,Friend,Jamie,Sam,2025-07-27 14:11:03,"Hey, are you free tonight?"
971,Family,Bro,Dad,2025-07-31 02:22:11,Don't forget your jacket! - can't wait
972,Couple,Partner,Partner,2025-05-16 22:20:44,"Miss you, come home safe. :)"
973,Friend,Jamie,Alex,2025-09-11 22:30:33,Call me when you're free.!
974,Mixed/Generic,User1,Group,2025-09-16 13:42:50,"Sure, works for me. - can't wait"
975,Work/Colleague,Liam (QA),All,2025-09-21 05:12:40,I'll be WFH tomorrow. - can't wait
976,Family,Sis,Dad,2025-03-31 13:41:00,Have you eaten?
977,Couple,Partner,Partner,2025-09-05 07:09:03,Did you take your meds today?🙏
978,Mixed/Generic,Contact,Contact,2025-10-11 15:23:25,On my way 🚗 :)
979,Work/Colleague,Priya (Dev),Client,2025-07-06 05:51:05,Any updates on the ticket???
980,Work/Colleague,Priya (Dev),You,2025-02-01 22:16:55,Great job on the demo!!
981,Work/Colleague,Priya (Dev),Team,2025-11-03 04:55:16,Who will cover the support shift?!
982,Mixed/Generic,User1,Group,2025-05-07 12:55:48,Thanks a lot!...
983,Work/Colleague,Emma (HR),Client,2025-10-13 10:02:44,Meeting moved to 3 PM. :)
984,Work/Colleague,Priya (Dev),All,2025-06-26 21:40:32,Let's sync after lunch. - can't wait
985,Family,Mom,Bro,2025-09-03 13:39:27,Remember to call your grandmother. 😂
986,Work/Colleague,Raj (PM),Client,2025-09-15 15:37:15,Who will cover the support shift???
987,Friend,Jamie,Alex,2025-05-11 18:15:32,Let's plan a trip soon!
988,Family,Bro,Sis,2025-02-20 09:26:10,How's school/work going?🙏
989,Work/Colleague,Chris (Lead),You,2025-03-06 17:07:38,Meeting moved to 3 PM.
990,Work/Colleague,Emma (HR),You,2025-01-13 04:53:29,Meeting moved to 3 PM.??
991,Couple,Love,You,2024-11-26 22:55:34,Dinner at our place tonight?...
992,Friend,Taylor,Sam,2025-01-31 22:44:28,Let's plan a trip soon!??
993,Work/Colleague,Liam (QA),You,2025-03-12 14:58:52,Great job on the demo! 😂
994,Friend,Casey,Casey,2025-03-21 12:07:20,Wanna grab coffee tomorrow???
995,Family,Bro,Sis,2025-01-11 16:58:33,Remember to call your grandmother.??
996,Work/Colleague,Priya (Dev),Client,2025-10-14 16:09:19,Meeting moved to 3 PM.
997,Work/Colleague,Raj (PM),Team,2025-07-07 02:18:03,Do you have the client notes?
998,Family,Dad,Dad,2025-01-08 05:33:12,Send the grocery list....
999,Friend,Jordan,Jamie,2025-04-23 14:13:09,What's the plan this weekend? - can't wait
1000,Work/Colleague,Liam (QA),All,2025-11-13 21:55:15,Can you review the report?
